thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,subject,age,gender,handedness,
,,0,Training - easy,0,1.1631114000001617,up,1,90,up,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,1,0.7002193999996962,up,1,90,up,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,2,0.5842917999998463,down,1,270,down,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,3,0.5835228000005372,down,1,270,down,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,4,0.5329493999997794,down,1,270,down,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,5,0.483581100000265,up,1,90,up,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,6,0.6508425000001807,down,1,270,down,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,7,0.6171645000003991,up,1,90,up,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,8,0.5997746000002735,down,1,270,down,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,9,0.683117200000197,down,1,270,down,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,10,0.5667494999997871,down,1,270,down,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,11,0.5003428999998505,up,1,90,up,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,12,0.49996199999986857,up,1,90,up,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,13,0.5167498000000705,up,1,90,up,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,14,0.44978679999985616,down,1,270,down,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,15,0.4493449999999939,up,1,90,up,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,16,0.44923190000008617,up,1,90,up,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,17,0.4172032999995281,down,1,270,down,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,18,0.5171768999998676,up,1,90,up,0.8,,,,,,,10,30,M,R,
,,0,Training - easy,19,0.4000394000004235,down,1,270,down,0.8,,,,,,,10,30,M,R,
,,0,Training - hard,0,1.1320743999995102,up,1,90,up,0.4,,,,,,,10,30,M,R,
,,0,Training - hard,1,0.39967410000008385,down,1,270,down,0.4,,,,,,,10,30,M,R,
,,0,Training - hard,2,0.4665313999994396,down,1,270,down,0.4,,,,,,,10,30,M,R,
,,0,Training - hard,3,0.46603940000022703,down,1,270,down,0.4,,,,,,,10,30,M,R,
,,0,Training - hard,4,0.45042190000003757,up,1,90,up,0.4,,,,,,,10,30,M,R,
,,0,Training - hard,5,0.450192700000116,up,1,90,up,0.4,,,,,,,10,30,M,R,
,,0,Training - hard,6,0.6497128999999404,up,1,90,up,0.4,,,,,,,10,30,M,R,
,,0,Training - hard,7,0.4165748999994321,down,1,270,down,0.4,,,,,,,10,30,M,R,
,,0,Training - hard,8,0.6331958999999188,down,1,270,down,0.4,,,,,,,10,30,M,R,
,,0,Training - hard,9,0.7167688999998063,down,1,270,down,0.4,,,,,,,10,30,M,R,
,,0,Training - hard,10,0.5164248999999472,up,1,90,up,0.4,,,,,,,10,30,M,R,
,,0,Training - hard,11,1.033633699999882,down,1,270,down,0.4,,,,,,,10,30,M,R,
