"","thisRow.t","notes","block","Trialtype","withinblocktrial","RTdec","resp","cor","dots.direction","cor_resp","coherence","scale","SR_conf","RTrating","interval","interTrial.interval","start_conf","subject","age","gender","handedness"
"1",NA,NA,0,"Training - easy",0,0.75569059999998,"up",1,90,"up",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"2",NA,NA,0,"Training - easy",1,0.849703300000328,"down",0,90,"up",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"3",NA,NA,0,"Training - easy",2,0.600883899999644,"down",1,270,"down",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"4",NA,NA,0,"Training - easy",3,0.633914600000026,"down",1,270,"down",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"5",NA,NA,0,"Training - easy",4,0.668417199999567,"up",1,90,"up",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"6",NA,NA,0,"Training - easy",5,0.802418100000068,"up",1,90,"up",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"7",NA,NA,0,"Training - easy",6,0.6180889999996,"down",1,270,"down",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"8",NA,NA,0,"Training - easy",7,0.835938899999746,"down",1,270,"down",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"9",NA,NA,0,"Training - easy",8,1.04971149999983,"down",1,270,"down",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"10",NA,NA,0,"Training - easy",9,0.749429200000122,"down",1,270,"down",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"11",NA,NA,0,"Training - easy",10,0.733802900000228,"up",1,90,"up",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"12",NA,NA,0,"Training - easy",11,0.701430200000686,"down",1,270,"down",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"13",NA,NA,0,"Training - easy",12,0.615968299999622,"up",1,90,"up",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"14",NA,NA,0,"Training - easy",13,0.550143400000707,"down",1,270,"down",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"15",NA,NA,0,"Training - easy",14,0.583219800000734,"down",1,270,"down",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"16",NA,NA,0,"Training - easy",15,0.483788000000459,"up",1,90,"up",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"17",NA,NA,0,"Training - easy",16,0.633738300000005,"up",1,90,"up",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"18",NA,NA,0,"Training - easy",17,0.59962650000034,"down",1,270,"down",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"19",NA,NA,0,"Training - easy",18,0.532363999999689,"up",1,90,"up",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"20",NA,NA,0,"Training - easy",19,0.650763600000573,"up",1,90,"up",0.8,"",NA,"","",NA,NA,5,2654,"h","r"
"21",NA,NA,0,"Training - hard",0,0.703389300000708,"down",1,270,"down",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"22",NA,NA,0,"Training - hard",1,0.650247900000068,"up",0,270,"down",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"23",NA,NA,0,"Training - hard",2,0.818746499999179,"up",1,90,"up",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"24",NA,NA,0,"Training - hard",3,0.83264969999982,"up",1,90,"up",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"25",NA,NA,0,"Training - hard",4,0.682583299999351,"down",1,270,"down",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"26",NA,NA,0,"Training - hard",5,0.667114599999877,"up",1,90,"up",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"27",NA,NA,0,"Training - hard",6,0.850514499999917,"up",1,90,"up",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"28",NA,NA,0,"Training - hard",7,1.03287199999977,"up",1,90,"up",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"29",NA,NA,0,"Training - hard",8,0.582281900000453,"down",1,270,"down",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"30",NA,NA,0,"Training - hard",9,0.782749399999375,"up",1,90,"up",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"31",NA,NA,0,"Training - hard",10,0.949817700000494,"down",0,90,"up",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"32",NA,NA,0,"Training - hard",11,0.783500999999887,"up",1,90,"up",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"33",NA,NA,0,"Training - hard",12,0.784342199999628,"up",1,90,"up",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"34",NA,NA,0,"Training - hard",13,0.750113699999929,"down",1,270,"down",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"35",NA,NA,0,"Training - hard",14,0.900827399999798,"up",1,90,"up",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"36",NA,NA,0,"Training - hard",15,0.667233799999849,"down",1,270,"down",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"37",NA,NA,0,"Training - hard",16,0.849104800000532,"down",1,270,"down",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"38",NA,NA,0,"Training - hard",17,0.698900699999285,"down",1,270,"down",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"39",NA,NA,0,"Training - hard",18,0.799958700000388,"down",1,270,"down",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"40",NA,NA,0,"Training - hard",19,0.834369899999729,"down",1,270,"down",0.4,"",NA,"","",NA,NA,5,2654,"h","r"
"41",NA,NA,1,"Training - scales",0,0.853472599999805,"down",1,270,"down",0.2,"control",0.19,"1.4684314999994967","",NA,NA,5,2654,"h","r"
"42",NA,NA,1,"Training - scales",1,1.06598870000016,"up",1,90,"up",0.9,"control",1,"0.868615299999874","",NA,NA,5,2654,"h","r"
"43",NA,NA,1,"Training - scales",2,1.18655339999987,"down",0,90,"up",0.1,"conf",0.54,"1.669905300001119","",NA,NA,5,2654,"h","r"
"44",NA,NA,1,"Training - scales",3,0.669317899999442,"down",1,270,"down",1,"conf",0.99,"1.48675479999838","",NA,NA,5,2654,"h","r"
"45",NA,NA,1,"Training - scales",4,0.649763499999608,"down",1,270,"down",0.8,"conf",0.88,"0.7512896999996883","",NA,NA,5,2654,"h","r"
