"","thisRow.t","notes","block","Trialtype","withinblocktrial","RTdec","resp","cor","dots.direction","cor_resp","coherence","scale","SR_conf","RTrating","interval","interTrial.interval","start_conf","subject","age","gender","handedness"
"1",NA,NA,0,"Training - easy",0,1.62314289999995,"down",0,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"2",NA,NA,0,"Training - easy",1,0.700533199999882,"down",0,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"3",NA,NA,0,"Training - easy",2,0.615775700000086,"up",1,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"4",NA,NA,0,"Training - easy",3,0.615174499999739,"down",0,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"5",NA,NA,0,"Training - easy",4,0.900256799999624,"up",1,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"6",NA,NA,0,"Training - easy",5,0.700203700000202,"down",0,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"7",NA,NA,0,"Training - easy",6,1.01918209999985,"down",1,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"8",NA,NA,0,"Training - easy",7,0.734657899999547,"down",1,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"9",NA,NA,0,"Training - easy",8,0.582898700000442,"up",1,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"10",NA,NA,0,"Training - easy",9,0.616523500000767,"down",0,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"11",NA,NA,0,"Training - easy",10,0.885670300000129,"down",0,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"12",NA,NA,0,"Training - easy",11,0.7167129999998,"up",0,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"13",NA,NA,0,"Training - easy",12,0.767791399999624,"down",1,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"14",NA,NA,0,"Training - easy",13,0.785316200000125,"down",1,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"15",NA,NA,0,"Training - easy",14,0.968331699999908,"up",0,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"16",NA,NA,0,"Training - easy",15,0.784113800000341,"up",0,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"17",NA,NA,0,"Training - easy",16,0.699518999999782,"down",1,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"18",NA,NA,0,"Training - easy",17,0.684940900000583,"down",1,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"19",NA,NA,0,"Training - easy",18,0.670113799999854,"down",0,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"20",NA,NA,0,"Training - easy",19,0.617885499999829,"up",0,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"21",NA,NA,0,"Training - easy",0,0.753302799999801,"down",0,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"22",NA,NA,0,"Training - easy",1,0.935534399999597,"down",1,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"23",NA,NA,0,"Training - easy",2,0.482022199999847,"up",0,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"24",NA,NA,0,"Training - easy",3,0.500204800000574,"up",1,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"25",NA,NA,0,"Training - easy",4,0.483195900000283,"down",1,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"26",NA,NA,0,"Training - easy",5,0.566765600000508,"up",0,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"27",NA,NA,0,"Training - easy",6,0.632583000000523,"down",1,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"28",NA,NA,0,"Training - easy",7,0.684046900000794,"up",1,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"29",NA,NA,0,"Training - easy",8,0.784914100000606,"up",1,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"30",NA,NA,0,"Training - easy",9,1.0505905,"up",1,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"31",NA,NA,0,"Training - easy",10,0.698708800000531,"up",1,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"32",NA,NA,0,"Training - easy",11,0.566033100000823,"down",1,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"33",NA,NA,0,"Training - easy",12,0.517478799999481,"up",1,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"34",NA,NA,0,"Training - easy",13,0.418718699999772,"down",1,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"35",NA,NA,0,"Training - easy",14,0.583991200000128,"up",1,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"36",NA,NA,0,"Training - easy",15,0.400230799999918,"down",1,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"37",NA,NA,0,"Training - easy",16,0.434866199999306,"up",1,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"38",NA,NA,0,"Training - easy",17,0.448909900000217,"down",1,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"39",NA,NA,0,"Training - easy",18,0.750530799999979,"down",1,270,"down",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"40",NA,NA,0,"Training - easy",19,0.449831599999925,"up",1,90,"up",0.8,"",NA,"","",NA,NA,3,27,"W","R"
"41",NA,NA,0,"Training - hard",0,0.952607300000636,"up",1,90,"up",0.4,"",NA,"","",NA,NA,3,27,"W","R"
"42",NA,NA,0,"Training - hard",1,0.400372600000082,"down",0,90,"up",0.4,"",NA,"","",NA,NA,3,27,"W","R"
"43",NA,NA,0,"Training - hard",2,0.882843199999115,"down",1,270,"down",0.4,"",NA,"","",NA,NA,3,27,"W","R"
"44",NA,NA,0,"Training - hard",3,0.56699000000026,"up",0,270,"down",0.4,"",NA,"","",NA,NA,3,27,"W","R"
