"","thisRow.t","notes","block","Trialtype","withinblocktrial","RTdec","resp","cor","dots.direction","cor_resp","coherence","scale","SR_conf","RTrating","interval","interTrial.interval","subject","age","gender","handedness"
"1",NA,NA,0,"Training - easy",0,1.16334039999856,"down",1,270,"down",0.8,"",NA,"",NA,NA,0,22,"M","R"
"2",NA,NA,0,"Training - easy",1,0.447779900001478,"up",1,90,"up",0.8,"",NA,"",NA,NA,0,22,"M","R"
"3",NA,NA,0,"Training - easy",2,0.399204800000007,"up",1,90,"up",0.8,"",NA,"",NA,NA,0,22,"M","R"
"4",NA,NA,0,"Training - easy",3,0.349380899999232,"up",0,270,"down",0.8,"",NA,"",NA,NA,0,22,"M","R"
"5",NA,NA,0,"Training - easy",4,0.60080939999898,"down",1,270,"down",0.8,"",NA,"",NA,NA,0,22,"M","R"
"6",NA,NA,0,"Training - easy",5,0.568993600001704,"down",0,90,"up",0.8,"",NA,"",NA,NA,0,22,"M","R"
"7",NA,NA,0,"Training - easy",6,0.532388899999205,"up",1,90,"up",0.8,"",NA,"",NA,NA,0,22,"M","R"
"8",NA,NA,0,"Training - easy",7,0.550746299999446,"up",1,90,"up",0.8,"",NA,"",NA,NA,0,22,"M","R"
"9",NA,NA,0,"Training - easy",8,0.35089020000305,"up",1,90,"up",0.8,"",NA,"",NA,NA,0,22,"M","R"
"10",NA,NA,0,"Training - easy",9,0.452699400000711,"down",1,270,"down",0.8,"",NA,"",NA,NA,0,22,"M","R"
"11",NA,NA,0,"Training - easy",10,0.433798199999728,"up",1,90,"up",0.8,"",NA,"",NA,NA,0,22,"M","R"
"12",NA,NA,0,"Training - easy",11,0.53609890000007,"down",1,270,"down",0.8,"",NA,"",NA,NA,0,22,"M","R"
"13",NA,NA,0,"Training - easy",12,0.452555399999255,"down",1,270,"down",0.8,"",NA,"",NA,NA,0,22,"M","R"
"14",NA,NA,0,"Training - easy",13,0.384041500001331,"down",1,270,"down",0.8,"",NA,"",NA,NA,0,22,"M","R"
"15",NA,NA,0,"Training - easy",14,0.750363899998774,"up",1,90,"up",0.8,"",NA,"",NA,NA,0,22,"M","R"
"16",NA,NA,0,"Training - easy",15,0.451950800001214,"up",1,90,"up",0.8,"",NA,"",NA,NA,0,22,"M","R"
"17",NA,NA,0,"Training - easy",16,0.383661199997732,"down",1,270,"down",0.8,"",NA,"",NA,NA,0,22,"M","R"
"18",NA,NA,0,"Training - easy",17,0.365994600000704,"up",1,90,"up",0.8,"",NA,"",NA,NA,0,22,"M","R"
"19",NA,NA,0,"Training - easy",18,0.333148599998822,"down",1,270,"down",0.8,"",NA,"",NA,NA,0,22,"M","R"
"20",NA,NA,0,"Training - easy",19,0.316608999997698,"down",1,270,"down",0.8,"",NA,"",NA,NA,0,22,"M","R"
"21",NA,NA,0,"Training - hard",0,0.668392999999924,"down",1,270,"down",0.4,"",NA,"",NA,NA,0,22,"M","R"
"22",NA,NA,0,"Training - hard",1,0.466793899999175,"up",1,90,"up",0.4,"",NA,"",NA,NA,0,22,"M","R"
"23",NA,NA,0,"Training - hard",2,0.500305199999275,"up",1,90,"up",0.4,"",NA,"",NA,NA,0,22,"M","R"
"24",NA,NA,0,"Training - hard",3,1.35235649999959,"down",1,270,"down",0.4,"",NA,"",NA,NA,0,22,"M","R"
"25",NA,NA,0,"Training - hard",4,0.633260999999038,"up",0,270,"down",0.4,"",NA,"",NA,NA,0,22,"M","R"
"26",NA,NA,0,"Training - hard",5,0.983852599998499,"down",1,270,"down",0.4,"",NA,"",NA,NA,0,22,"M","R"
"27",NA,NA,0,"Training - hard",6,NA,"[]",0,270,"down",0.4,"",NA,"",NA,NA,0,22,"M","R"
"28",NA,NA,0,"Training - hard",7,0.902422399998613,"up",1,90,"up",0.4,"",NA,"",NA,NA,0,22,"M","R"
"29",NA,NA,0,"Training - hard",8,0.801386000002822,"down",1,270,"down",0.4,"",NA,"",NA,NA,0,22,"M","R"
"30",NA,NA,0,"Training - hard",9,0.53439299999809,"down",1,270,"down",0.4,"",NA,"",NA,NA,0,22,"M","R"
"31",NA,NA,0,"Training - hard",10,0.402390199997171,"up",1,90,"up",0.4,"",NA,"",NA,NA,0,22,"M","R"
"32",NA,NA,0,"Training - hard",11,0.434671999999409,"up",1,90,"up",0.4,"",NA,"",NA,NA,0,22,"M","R"
"33",NA,NA,0,"Training - hard",12,0.535235700001067,"down",1,270,"down",0.4,"",NA,"",NA,NA,0,22,"M","R"
"34",NA,NA,0,"Training - hard",13,0.417931300002238,"up",1,90,"up",0.4,"",NA,"",NA,NA,0,22,"M","R"
"35",NA,NA,0,"Training - hard",14,0.3514342999988,"down",0,90,"up",0.4,"",NA,"",NA,NA,0,22,"M","R"
"36",NA,NA,0,"Training - hard",15,0.468826600001194,"up",1,90,"up",0.4,"",NA,"",NA,NA,0,22,"M","R"
"37",NA,NA,0,"Training - hard",16,0.418446899999253,"down",1,270,"down",0.4,"",NA,"",NA,NA,0,22,"M","R"
"38",NA,NA,0,"Training - hard",17,0.366374900000665,"up",1,90,"up",0.4,"",NA,"",NA,NA,0,22,"M","R"
"39",NA,NA,0,"Training - hard",18,0.366909100001067,"up",1,90,"up",0.4,"",NA,"",NA,NA,0,22,"M","R"
"40",NA,NA,0,"Training - hard",19,0.349907900003018,"down",1,270,"down",0.4,"",NA,"",NA,NA,0,22,"M","R"
"41",NA,NA,1,"Training - scales",0,0.688975100001699,"down",1,270,"down",0.6,"control",0.93,"2.1182829000026686",NA,NA,0,22,"M","R"
"42",NA,NA,1,"Training - scales",1,0.55106479999813,"down",1,270,"down",0.8,"control",0.96,"0.952942100000655",NA,NA,0,22,"M","R"
"43",NA,NA,1,"Training - scales",2,0.768070800000714,"up",0,270,"down",0.1,"conf",0.51,"1.6202253000010387",NA,NA,0,22,"M","R"
"44",NA,NA,1,"Training - scales",3,0.500986099999864,"up",1,90,"up",0.9,"control",0.03,"1.8529682999978832",NA,NA,0,22,"M","R"
"45",NA,NA,1,"Training - scales",4,0.534217899999931,"up",1,90,"up",1,"control",0.98,"0.9014081999994232",NA,NA,0,22,"M","R"
"46",NA,NA,1,"Training - scales",5,0.516093000002002,"up",1,90,"up",0.2,"control",0.8,"1.1177162999993016",NA,NA,0,22,"M","R"
"47",NA,NA,1,"Training - scales",6,0.549897600001714,"down",1,270,"down",0.7,"conf",0.97,"1.0364657999998599",NA,NA,0,22,"M","R"
"48",NA,NA,1,"Training - scales",7,0.600894499999413,"down",1,270,"down",0.5,"conf",0.98,"2.0866395000011835",NA,NA,0,22,"M","R"
"49",NA,NA,1,"Training - scales",8,0.500825199997053,"up",1,90,"up",0.4,"conf",0.98,"1.3846682000003057",NA,NA,0,22,"M","R"
"50",NA,NA,1,"Training - scales",9,0.517792999999074,"up",1,90,"up",0.3,"conf",0.93,"1.4358243000024231",NA,NA,0,22,"M","R"
"51",NA,NA,2,"Main",0,0.710822400000325,"down",1,270,"down",0.53530612244898,"conf",0.74,"1.6136762999994971",2.5570476742789,2.39351710655532,0,22,"M","R"
"52",NA,NA,2,"Main",1,0.760940800002572,"up",1,90,"up",0.454489795918367,"control",NA,"None",1.80162643161497,1.88219832485721,0,22,"M","R"
"53",NA,NA,2,"Main",2,0.649897800001781,"down",1,270,"down",0.393877551020408,"conf",0.81,"1.6853330999983882",4.45847317524559,3.66040661098315,0,22,"M","R"
"54",NA,NA,2,"Main",3,0.662690900000598,"down",1,270,"down",0.333265306122449,"conf",0.56,"1.4722148000000743",4.62002124104096,1.78106086311489,0,22,"M","R"
"55",NA,NA,2,"Main",4,0.688629000000219,"up",1,90,"up",0.27265306122449,"conf",0.62,"1.0469045000027108",2.18452359836537,2.63123197438401,0,22,"M","R"
"56",NA,NA,2,"Main",5,0.90590499999962,"up",0,270,"down",0.252448979591837,"conf",0.53,"2.5028203999972902",4.34751269649251,2.5249652346916,0,22,"M","R"
"57",NA,NA,2,"Main",6,0.844716600000538,"down",1,270,"down",0.414081632653061,"conf",0.68,"1.2232198999990942",3.39789772718559,2.0582888888941,0,22,"M","R"
"58",NA,NA,2,"Main",7,0.81348010000147,"down",1,270,"down",0.393877551020408,"conf",0.67,"1.4626170999981696",1.72688789925984,1.53146405348696,0,22,"M","R"
"59",NA,NA,2,"Main",8,0.702690500002063,"up",1,90,"up",0.353469387755102,"conf",0.84,"1.3242368999999599",4.19086246026003,1.9704608108637,0,22,"M","R"
"60",NA,NA,2,"Main",9,0.732971300003555,"up",1,90,"up",0.313061224489796,"control",0.92,"1.0238086999997904",3.40489475422351,3.45841408562395,0,22,"M","R"
"61",NA,NA,2,"Main",10,0.858818900000188,"up",0,270,"down",0.27265306122449,"conf",0.68,"2.18081119999988",3.35558829931539,1.31936542280748,0,22,"M","R"
"62",NA,NA,2,"Main",11,0.731899700000213,"down",1,270,"down",0.393877551020408,"conf",0.62,"0.9131118999976024",1.67741003645343,2.06429605608795,0,22,"M","R"
"63",NA,NA,2,"Main",12,0.639316600001621,"up",1,90,"up",0.373673469387755,"conf",0.78,"1.13810039999953",3.46077965778693,1.46466497174669,0,22,"M","R"
"64",NA,NA,2,"Main",13,0.771378100002039,"down",1,270,"down",0.353469387755102,"conf",0.78,"1.3991071000018565",2.4522113201411,2.59962262486184,0,22,"M","R"
"65",NA,NA,2,"Main",14,0.654038299999229,"up",1,90,"up",0.333265306122449,"control",0.84,"1.0504976999982318",3.5494185434615,3.92022595723591,0,22,"M","R"
"66",NA,NA,2,"Main",15,0.801516300001822,"down",1,270,"down",0.313061224489796,"control",0.62,"1.8426727000005485",4.1557783524542,3.45519334304301,0,22,"M","R"
"67",NA,NA,2,"Main",16,0.746839999999793,"down",1,270,"down",0.27265306122449,"conf",0.54,"1.052044100000785",1.83668644996889,3.32134829973909,0,22,"M","R"
"68",NA,NA,2,"Main",17,0.732420299998921,"down",1,270,"down",0.232244897959184,"control",0.44,"1.1397092000006523",2.16942445500568,2.89779656846342,0,22,"M","R"
"69",NA,NA,2,"Main",18,0.689310599998862,"up",1,90,"up",0.212040816326531,"conf",0.62,"0.8171373999975913",3.38245198163165,3.29019406191891,0,22,"M","R"
"70",NA,NA,2,"Main",19,0.880016499999329,"up",0,270,"down",0.191836734693878,"conf",0.42,"1.0258059999978286",3.94951575686159,2.62280961099595,0,22,"M","R"
"71",NA,NA,2,"Main",20,0.997442699997919,"up",0,270,"down",0.313061224489796,"conf",0.39,"0.9937232000011136",2.83111094222842,1.20152569939406,0,22,"M","R"
"72",NA,NA,2,"Main",21,0.617639800002507,"up",1,90,"up",0.373673469387755,"conf",0.87,"1.2285044999989623",3.73528922713736,3.26470750299431,0,22,"M","R"
"73",NA,NA,2,"Main",22,0.589093599999615,"up",1,90,"up",0.353469387755102,"control",0.81,"0.9599653000004764",4.54118623648901,3.08524321452058,0,22,"M","R"
"74",NA,NA,2,"Main",23,0.549776200001361,"up",1,90,"up",0.353469387755102,"conf",0.91,"0.9140858999999182",4.86307039492775,1.99145021579321,0,22,"M","R"
"75",NA,NA,2,"Main",24,0.660249399999884,"up",1,90,"up",0.333265306122449,"conf",0.9,"0.9817545999976574",3.44136947713314,2.88509697177853,0,22,"M","R"
"76",NA,NA,2,"Main",25,0.701482600001327,"up",1,90,"up",0.292857142857143,"control",0.79,"1.4033367000010912",4.77876010676853,3.30155504108584,0,22,"M","R"
"77",NA,NA,2,"Main",26,0.832817599999544,"down",1,270,"down",0.252448979591837,"conf",0.6,"1.292988900000637",3.78263298982512,2.5306645757445,0,22,"M","R"
"78",NA,NA,2,"Main",27,0.639519399999699,"up",1,90,"up",0.232244897959184,"conf",0.6,"1.021985899998981",3.0121277221178,2.06899665098826,0,22,"M","R"
"79",NA,NA,2,"Main",28,0.983883400000195,"up",0,270,"down",0.212040816326531,"conf",0.52,"1.1985252000013134",2.37990233991112,2.38280639589907,0,22,"M","R"
"80",NA,NA,2,"Main",29,0.637554500000988,"up",0,270,"down",0.313061224489796,"conf",0.65,"1.4151404000003822",3.05089234349353,3.70532267704932,0,22,"M","R"
"81",NA,NA,2,"Main",30,0.768313000000489,"up",0,270,"down",0.373673469387755,"conf",0.43,"0.8830153999988397",3.97932785919577,3.20883803626571,0,22,"M","R"
"82",NA,NA,2,"Main",31,0.67805479999879,"up",1,90,"up",0.414081632653061,"conf",0.69,"1.2221829000009166",4.73675609459476,1.94046969720218,0,22,"M","R"
"83",NA,NA,2,"Main",32,0.644902100000763,"up",0,270,"down",0.393877551020408,"conf",0.3,"1.7827801000021282",4.22659533160546,2.98379333292002,0,22,"M","R"
"84",NA,NA,2,"Main",33,0.736665000000357,"up",1,90,"up",0.454489795918367,"control",0.79,"1.520120200002566",3.9277225755548,3.23522390474782,0,22,"M","R"
"85",NA,NA,2,"Main",34,0.685616899998422,"up",1,90,"up",0.434285714285714,"conf",0.86,"1.1459625999996206",3.23374675985345,1.901415818167,0,22,"M","R"
