"","thisRow.t","notes","block","Trialtype","withinblocktrial","RTdec","resp","cor","dots.direction","cor_resp","coherence","dotlife","SR_conf","RTrating","interval","interTrial.interval","scale","start_conf","subject","age","gender","handedness","X"
"1",NA,NA,1,"SC dotlife",0,1.91459140001098,"up",1,90,"up",0.3,29,"","","",NA,"",NA,0,30,"Man","Right",NA
"2",NA,NA,1,"SC dotlife",1,1.18744299997343,"down",1,270,"down",0.3,25,"","","",NA,"",NA,0,30,"Man","Right",NA
"3",NA,NA,1,"SC dotlife",2,1.61114619998261,"up",1,90,"up",0.3,23,"","","",NA,"",NA,0,30,"Man","Right",NA
"4",NA,NA,1,"SC dotlife",3,1.08029980002902,"up",1,90,"up",0.3,21,"","","",NA,"",NA,0,30,"Man","Right",NA
"5",NA,NA,1,"SC dotlife",4,0.64616299996851,"down",1,270,"down",0.3,19,"","","",NA,"",NA,0,30,"Man","Right",NA
"6",NA,NA,1,"SC dotlife",5,0.746883400017396,"up",1,90,"up",0.3,17,"","","",NA,"",NA,0,30,"Man","Right",NA
"7",NA,NA,1,"SC dotlife",6,0.710340899997391,"down",1,270,"down",0.3,15,"","","",NA,"",NA,0,30,"Man","Right",NA
"8",NA,NA,1,"SC dotlife",7,0.778213899990078,"down",1,270,"down",0.3,13,"","","",NA,"",NA,0,30,"Man","Right",NA
"9",NA,NA,1,"SC dotlife",8,1.42640950001078,"up",1,90,"up",0.3,13,"","","",NA,"",NA,0,30,"Man","Right",NA
"10",NA,NA,1,"SC dotlife",9,1.35977039998397,"down",1,270,"down",0.3,11,"","","",NA,"",NA,0,30,"Man","Right",NA
"11",NA,NA,1,"SC dotlife",10,1.61054329999024,"down",1,270,"down",0.3,11,"","","",NA,"",NA,0,30,"Man","Right",NA
"12",NA,NA,1,"SC dotlife",11,1.01075479999417,"up",1,90,"up",0.3,9,"","","",NA,"",NA,0,30,"Man","Right",NA
"13",NA,NA,1,"SC dotlife",12,1.27781900000991,"up",1,90,"up",0.3,9,"","","",NA,"",NA,0,30,"Man","Right",NA
"14",NA,NA,1,"SC dotlife",13,1.843945599976,"up",1,90,"up",0.3,9,"","","",NA,"",NA,0,30,"Man","Right",NA
"15",NA,NA,1,"SC dotlife",14,1.81175300001632,"down",1,270,"down",0.3,9,"","","",NA,"",NA,0,30,"Man","Right",NA
"16",NA,NA,1,"SC dotlife",15,NA,"[]",0,90,"up",0.3,7,"","","",NA,"",NA,0,30,"Man","Right",NA
"17",NA,NA,1,"SC dotlife",16,1.81265999999596,"down",1,270,"down",0.3,11,"","","",NA,"",NA,0,30,"Man","Right",NA
"18",NA,NA,1,"SC dotlife",17,NA,"[]",0,270,"down",0.3,9,"","","",NA,"",NA,0,30,"Man","Right",NA
"19",NA,NA,1,"SC dotlife",18,1.378130600031,"up",1,90,"up",0.3,11,"","","",NA,"",NA,0,30,"Man","Right",NA
"20",NA,NA,1,"SC dotlife",19,0.731564399960916,"up",1,90,"up",0.3,11,"","","",NA,"",NA,0,30,"Man","Right",NA
"21",NA,NA,1,"SC dotlife",20,0.844277299998794,"down",1,270,"down",0.3,11,"","","",NA,"",NA,0,30,"Man","Right",NA
"22",NA,NA,1,"SC dotlife",21,0.763970299973153,"down",1,270,"down",0.3,11,"","","",NA,"",NA,0,30,"Man","Right",NA
"23",NA,NA,1,"SC dotlife",22,0.63035829999717,"up",1,90,"up",0.3,11,"","","",NA,"",NA,0,30,"Man","Right",NA
"24",NA,NA,1,"SC dotlife",23,0.745388600043952,"up",1,90,"up",0.3,11,"","","",NA,"",NA,0,30,"Man","Right",NA
"25",NA,NA,1,"SC dotlife",24,0.746116099995561,"up",1,90,"up",0.3,11,"","","",NA,"",NA,0,30,"Man","Right",NA
"26",NA,NA,1,"SC dotlife",25,0.644496299966704,"down",1,270,"down",0.3,11,"","","",NA,"",NA,0,30,"Man","Right",NA
"27",NA,NA,1,"SC dotlife",26,0.595363700005691,"up",1,90,"up",0.3,11,"","","",NA,"",NA,0,30,"Man","Right",NA
"28",NA,NA,1,"SC dotlife",27,0.545756099978462,"down",1,270,"down",0.3,11,"","","",NA,"",NA,0,30,"Man","Right",NA
"29",NA,NA,1,"SC dotlife",28,0.511901899997611,"down",1,270,"down",0.3,9,"","","",NA,"",NA,0,30,"Man","Right",NA
"30",NA,NA,1,"SC dotlife",29,0.5782642000122,"down",1,270,"down",0.3,9,"","","",NA,"",NA,0,30,"Man","Right",NA
"31",NA,NA,1,"SC dotlife",30,0.829880999983288,"up",1,90,"up",0.3,9,"","","",NA,"",NA,0,30,"Man","Right",NA
"32",NA,NA,1,"SC dotlife",31,0.529854999971576,"down",1,270,"down",0.3,9,"","","",NA,"",NA,0,30,"Man","Right",NA
