thisRow.t,notes,it,a,b,a_est,b_est,sub,age,gender,handedness,
,,0,0.24999999999999997,5.0,0.22014336694911346,3.3221686814146434,0,30,Man,Right,
,,1,0.5499999999999999,5.0,0.53709089692401,3.0238101165913296,0,30,Man,Right,
,,2,0.44999999999999996,4.5,0.4517351416636892,3.2314079284390895,0,30,Man,Right,
,,3,0.35,1.5,0.31001013887549045,0.9191208082263421,0,30,Man,Right,
,,4,0.7299999999999999,4.0,0.5827067364419787,2.9107434402659313,0,30,Man,Right,
,,5,0.5299999999999999,1.0,0.367661994039267,1.5786470231570138,0,30,Man,Right,
,,6,0.06999999999999999,5.5,0.07173428142728328,3.4713469454623604,0,30,Man,Right,
,,7,0.38999999999999996,0.5,0.37714480202961453,0.5892900832343961,0,30,Man,Right,
,,8,0.5299999999999999,5.0,0.4941449116348732,3.7180558949626774,0,30,Man,Right,
,,9,0.24999999999999997,1.5,0.2584836603055548,1.4770397534174644,0,30,Man,Right,
,,10,0.10999999999999997,0.5,0.23982382168507202,1.2528960010255321,0,30,Man,Right,
,,11,0.42999999999999994,4.0,0.36550520413671445,2.417599501682614,0,30,Man,Right,
,,12,0.6499999999999999,3.5,0.5831108332269042,2.6334868935263454,0,30,Man,Right,
,,13,0.48999999999999994,1.0,0.5391709053092236,1.204994094132646,0,30,Man,Right,
,,14,0.5299999999999999,1.5,0.48647784034668967,2.7987410540757605,0,30,Man,Right,
,,15,0.44999999999999996,1.5,0.44754636749285065,0.7447590243326272,0,30,Man,Right,
,,16,0.24999999999999997,2.5,0.3068229727271726,3.4239442682721952,0,30,Man,Right,
,,17,0.30999999999999994,5.5,0.28680646755684497,3.6003296519290893,0,30,Man,Right,
,,18,0.29,4.0,0.2914563343054412,3.124970032231042,0,30,Man,Right,
,,19,0.10999999999999997,6.0,0.10457397822335054,3.368697837931444,0,30,Man,Right,
,,20,0.44999999999999996,4.5,0.3725446804713383,2.4705970849592735,0,30,Man,Right,
,,21,0.22999999999999998,2.0,0.27017362039078574,2.102104758926613,0,30,Man,Right,
,,22,0.01,0.5,0.02007420272927175,1.5094587258746872,0,30,Man,Right,
,,23,0.42999999999999994,1.0,0.5233645379527068,0.6080873717649218,0,30,Man,Right,
,,24,0.18999999999999997,4.0,0.21009870881329476,3.932163630398218,0,30,Man,Right,
,,25,0.4099999999999999,1.0,0.35396403581644925,0.6128157744431469,0,30,Man,Right,
,,26,0.6499999999999999,4.0,0.6335577289225087,4.6430243804930225,0,30,Man,Right,
,,27,0.24999999999999997,2.0,0.2879947441924288,2.1172296165749938,0,30,Man,Right,
,,28,0.18999999999999997,0.5,0.3178184767739945,1.8412000870952983,0,30,Man,Right,
,,29,0.42999999999999994,2.5,0.40336233942484834,2.4091417307826273,0,30,Man,Right,
,,30,0.24999999999999997,1.5,0.35391127636907044,1.4758552019266589,0,30,Man,Right,
,,31,0.35,1.0,0.4210777466538805,1.5472342769091532,0,30,Man,Right,
,,32,0.4099999999999999,3.0,0.41164835439277614,2.8825786869570336,0,30,Man,Right,
,,33,0.08999999999999998,2.5,0.09979732525839587,2.9799941705580117,0,30,Man,Right,
,,34,0.36999999999999994,1.0,0.3470889228362596,1.6427565783284062,0,30,Man,Right,
,,35,0.08999999999999998,2.0,0.12261083018847438,2.9762911706604362,0,30,Man,Right,
,,36,0.26999999999999996,3.5,0.26053134925679083,3.0488054299711242,0,30,Man,Right,
,,37,0.7099999999999999,3.0,0.7130860530447071,1.7809423267616047,0,30,Man,Right,
,,38,0.24999999999999997,3.0,0.2870945102560955,3.742486279124399,0,30,Man,Right,
,,39,0.4099999999999999,1.0,0.31227124124647765,0.8254444669959281,0,30,Man,Right,
,,40,0.22999999999999998,3.0,0.22808060828141494,3.893008881576652,0,30,Man,Right,
,,41,0.26999999999999996,2.0,0.3140250130009076,1.860648765265946,0,30,Man,Right,
,,42,0.16999999999999998,2.5,0.16769827871735743,2.9057882780621354,0,30,Man,Right,
,,43,0.48999999999999994,5.5,0.4474682990528502,3.772695186466927,0,30,Man,Right,
,,44,0.7299999999999999,2.0,0.7895712650317778,2.258633604906092,0,30,Man,Right,
,,45,0.44999999999999996,2.0,0.4431253325139073,1.7790566812747979,0,30,Man,Right,
,,46,0.29,3.5,0.2897748188593183,3.3788147047742423,0,30,Man,Right,
,,47,0.08999999999999998,2.5,0.09939182071711261,1.4461085541464105,0,30,Man,Right,
,,48,0.32999999999999996,3.0,0.34764877396386096,2.183099053988839,0,30,Man,Right,
,,49,0.06999999999999999,0.5,0.08534945298452032,0.7144520198392638,0,30,Man,Right,
