thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,sub,age,gender,handedness,
,,1,SC dotlife,0,0.454679300000862,down,1,270,down,0.3,29,,,,,,,0,30,Man,Right,
,,1,SC dotlife,1,0.4607367000025988,up,1,90,up,0.3,25,,,,,,,0,30,Man,Right,
,,1,SC dotlife,2,0.4586005999990448,up,1,90,up,0.3,23,,,,,,,0,30,Man,Right,
,,1,SC dotlife,3,0.4123295999997936,down,1,270,down,0.3,21,,,,,,,0,30,Man,Right,
,,1,SC dotlife,4,0.3780211999983294,up,1,90,up,0.3,19,,,,,,,0,30,Man,Right,
,,1,SC dotlife,5,0.32955589999983204,down,1,270,down,0.3,17,,,,,,,0,30,Man,Right,
,,1,SC dotlife,6,0.3800580999995873,up,1,90,up,0.3,15,,,,,,,0,30,Man,Right,
,,1,SC dotlife,7,0.37759830000140937,down,1,270,down,0.3,13,,,,,,,0,30,Man,Right,
,,1,SC dotlife,8,0.36199649999980466,up,1,90,up,0.3,13,,,,,,,0,30,Man,Right,
,,1,SC dotlife,9,0.33028100000228733,down,1,270,down,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,10,0.36478899999929126,up,1,90,up,0.3,11,,,,,,,0,30,Man,Right,
,,1,SC dotlife,11,0.3293344000012439,down,1,270,down,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,12,0.36191990000224905,up,1,90,up,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,13,0.446596400000999,up,1,90,up,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,14,0.3641864000019268,down,1,270,down,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,15,0.46269110000139335,up,1,90,up,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,16,0.31447950000074343,down,1,270,down,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,17,0.31338619999951334,up,1,90,up,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,18,0.36106719999952475,down,1,270,down,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,19,0.31035939999856055,up,0,270,down,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,20,0.44606299999941257,up,1,90,up,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,21,0.3786532000012812,down,1,270,down,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,22,0.4461903999981587,down,1,270,down,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,23,0.3942876000000979,up,1,90,up,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,24,0.3956770000004326,down,1,270,down,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,25,0.44629649999842513,up,1,90,up,0.3,9,,,,,,,0,30,Man,Right,
,,1,SC dotlife,26,0.4455454999988433,up,1,90,up,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,27,0.4121735999979137,down,1,270,down,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,28,0.4768173999982537,down,1,270,down,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,29,0.4623387999999977,down,1,270,down,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,30,0.39704250000067987,up,1,90,up,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,31,0.5275891999990563,down,1,270,down,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,32,0.6161658000019088,up,1,90,up,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,33,0.3638089000014588,down,1,270,down,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,34,0.3963578000002599,up,1,90,up,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,35,0.42904750000161584,down,1,270,down,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,36,0.39429309999832185,down,0,90,up,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,37,0.4477134000007936,down,1,270,down,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,38,0.3815175999989151,up,1,90,up,0.3,7,,,,,,,0,30,Man,Right,
,,1,SC dotlife,39,0.47998480000023847,up,1,90,up,0.3,7,,,,,,,0,30,Man,Right,
,,2,SC coherence,0,0.40347320000000764,up,1,90,up,0.3,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,1,0.6593579000000318,up,0,270,down,0.0,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,2,0.426923999999417,up,1,90,up,0.2833333333333333,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,3,0.44589339999947697,down,1,270,down,0.24166666666666667,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,4,0.4270786000015505,up,1,90,up,0.21666666666666667,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,5,0.4596945000012056,up,1,90,up,0.18333333333333332,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,6,0.44353440000122646,up,1,90,up,0.15833333333333333,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,7,0.4407092000001285,down,1,270,down,0.14166666666666666,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,8,0.45591609999974025,up,1,90,up,0.11666666666666667,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,9,0.3584197000018321,down,1,270,down,0.1,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,10,0.37716960000034305,up,1,90,up,0.08333333333333333,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,11,0.361162900000636,down,1,270,down,0.08333333333333333,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,12,0.3592857000003278,up,0,270,down,0.058333333333333334,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,13,0.3947961000012583,up,1,90,up,0.11666666666666667,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,14,0.4258555000014894,down,1,270,down,0.1,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,15,0.8098899999968125,up,0,270,down,0.1,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,16,0.4293690999984392,up,1,90,up,0.15833333333333333,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,17,0.5416967999990447,up,1,90,up,0.14166666666666666,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,18,0.39280060000237427,down,1,270,down,0.14166666666666666,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,19,0.5796941000007791,down,1,270,down,0.14166666666666666,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,20,0.4117015000010724,down,1,270,down,0.14166666666666666,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,21,0.6107923999988998,up,1,90,up,0.11666666666666667,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,22,0.3950619999995979,down,1,270,down,0.11666666666666667,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,23,0.4115504000001238,down,1,270,down,0.11666666666666667,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,24,0.447157700000389,down,1,270,down,0.11666666666666667,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,25,0.4290131999987352,up,1,90,up,0.11666666666666667,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,26,0.5291880999975547,up,1,90,up,0.11666666666666667,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,27,0.46068640000157757,up,1,90,up,0.11666666666666667,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,28,0.44457429999965825,up,0,270,down,0.11666666666666667,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,29,0.42871459999878425,up,1,90,up,0.14166666666666666,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,30,0.4735426000006555,up,0,270,down,0.14166666666666666,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,31,0.47813809999934165,down,1,270,down,0.18333333333333332,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,32,0.5253472999975202,up,1,90,up,0.18333333333333332,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,33,0.5603044999988924,down,1,270,down,0.18333333333333332,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,34,0.3770665999982157,down,1,270,down,0.18333333333333332,6.4633637854499515,,,,,,,0,30,Man,Right,
,,2,SC coherence,35,0.3757848000022932,up,1,90,up,0.15833333333333333,6.4633637854499515,,,,,,,0,30,Man,Right,
