thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,sub,age,gender,handedness,
,,1,SC dotlife,0,0.48873370001092553,up,1,90,up,0.3,29,,,,,,,0,30,Man,Right,
,,1,SC dotlife,1,0.410167599999113,down,1,270,down,0.3,25,,,,,,,0,30,Man,Right,
,,1,SC dotlife,2,0.41297629999462515,down,1,270,down,0.3,23,,,,,,,0,30,Man,Right,
,,1,SC dotlife,3,0.5299054999777582,down,1,270,down,0.3,21,,,,,,,0,30,Man,Right,
,,1,SC dotlife,4,0.3966276999854017,up,1,90,up,0.3,19,,,,,,,0,30,Man,Right,
,,1,SC dotlife,5,0.3964692000008654,down,1,270,down,0.3,17,,,,,,,0,30,Man,Right,
,,1,SC dotlife,6,0.41246660001343116,up,1,90,up,0.3,15,,,,,,,0,30,Man,Right,
,,1,SC dotlife,7,0.31073810000088997,down,1,270,down,0.3,13,,,,,,,0,30,Man,Right,
,,1,SC dotlife,8,0.36082770000211895,up,0,270,down,0.3,13,,,,,,,0,30,Man,Right,
,,1,SC dotlife,9,0.4067949000163935,down,1,270,down,0.3,21,,,,,,,0,30,Man,Right,
,,1,SC dotlife,10,0.4750546000141185,up,1,90,up,0.3,19,,,,,,,0,30,Man,Right,
,,1,SC dotlife,11,0.6228322999959346,up,1,90,up,0.3,19,,,,,,,0,30,Man,Right,
,,1,SC dotlife,12,0.42949579999549314,down,1,270,down,0.3,17,,,,,,,0,30,Man,Right,
,,1,SC dotlife,13,0.5073528999928385,down,1,270,down,0.3,17,,,,,,,0,30,Man,Right,
,,1,SC dotlife,14,0.4122410999843851,down,1,270,down,0.3,17,,,,,,,0,30,Man,Right,
,,1,SC dotlife,15,0.4423481999838259,up,1,90,up,0.3,17,,,,,,,0,30,Man,Right,
,,1,SC dotlife,16,0.374291300016921,up,1,90,up,0.3,15,,,,,,,0,30,Man,Right,
,,1,SC dotlife,17,0.4400286999880336,up,1,90,up,0.3,15,,,,,,,0,30,Man,Right,
,,1,SC dotlife,18,0.43002079997677356,down,1,270,down,0.3,15,,,,,,,0,30,Man,Right,
