thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,sub,age,gender,handedness,
,,1,SC dotlife,0,0.7992508999886923,up,1,90,up,0.3,11,0,30,Man,Right,
,,1,SC dotlife,1,0.5111373999970965,down,1,270,down,0.3,9,0,30,Man,Right,
,,1,SC dotlife,2,0.4636115000466816,up,1,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,3,0.5942129999748431,up,1,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,4,0.5285266999853775,down,1,270,down,0.3,7,0,30,Man,Right,
,,1,SC dotlife,5,0.46461080003064126,up,1,90,up,0.3,5,0,30,Man,Right,
,,1,SC dotlife,6,0.4797715999884531,down,1,270,down,0.3,5,0,30,Man,Right,
,,1,SC dotlife,7,0.4459684999892488,up,1,90,up,0.3,5,0,30,Man,Right,
,,1,SC dotlife,8,0.6287706000148319,down,1,270,down,0.3,3,0,30,Man,Right,
,,1,SC dotlife,9,0.6301150000072084,up,0,270,down,0.3,3,0,30,Man,Right,
,,1,SC dotlife,10,0.7122327999677509,down,0,90,up,0.3,5,0,30,Man,Right,
,,1,SC dotlife,11,0.4772683999617584,up,0,270,down,0.3,7,0,30,Man,Right,
,,1,SC dotlife,12,0.512625899980776,up,1,90,up,0.3,9,0,30,Man,Right,
,,1,SC dotlife,13,0.5459238999756053,down,1,270,down,0.3,9,0,30,Man,Right,
,,1,SC dotlife,14,0.6644278999883682,down,1,270,down,0.3,9,0,30,Man,Right,
,,1,SC dotlife,15,0.5620658000116237,down,1,270,down,0.3,9,0,30,Man,Right,
,,1,SC dotlife,16,0.5808569000218995,down,1,270,down,0.3,7,0,30,Man,Right,
,,1,SC dotlife,17,0.4963038999703713,up,1,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,18,0.41313710005488247,down,1,270,down,0.3,7,0,30,Man,Right,
,,1,SC dotlife,19,0.46030390000669286,up,1,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,20,0.5476480000070296,down,1,270,down,0.3,7,0,30,Man,Right,
,,1,SC dotlife,21,0.4104434000328183,up,0,270,down,0.3,7,0,30,Man,Right,
,,1,SC dotlife,22,0.47750039998209104,up,1,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,23,0.3446022999705747,down,1,270,down,0.3,7,0,30,Man,Right,
,,1,SC dotlife,24,0.5793949000071734,up,1,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,25,0.7120076999999583,up,1,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,26,0.7617500000051223,up,1,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,27,0.46181730000535026,up,1,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,28,0.47723919997224584,down,1,270,down,0.3,7,0,30,Man,Right,
,,1,SC dotlife,29,0.6146825999603607,down,0,90,up,0.3,5,0,30,Man,Right,
,,1,SC dotlife,30,0.3762222999939695,up,1,90,up,0.3,7,0,30,Man,Right,
,,1,SC dotlife,31,0.3157734000124037,down,1,270,down,0.3,7,0,30,Man,Right,
,,1,SC dotlife,32,0.19752769998740405,up,1,90,up,0.3,7,0,30,Man,Right,
