thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,cor,dots direction,cor_resp,coherence,dotlife,sub,age,gender,handedness,
,,2,SC coherence,0,0.0042437999982212204,1,90,up,0.3,10,0,30,Man,Right,
,,2,SC coherence,1,0.0022731999997631647,0,90,up,0.0,10,0,30,Man,Right,
,,2,SC coherence,2,0.0022921999989193864,1,270,down,0.2833333333333333,10,0,30,Man,Right,
,,2,SC coherence,3,0.007923599998321151,1,270,down,0.24166666666666667,10,0,30,Man,Right,
,,2,SC coherence,4,0.00994409999839263,1,270,down,0.21666666666666667,10,0,30,Man,Right,
,,2,SC coherence,5,0.009127400000579655,1,270,down,0.2,10,0,30,Man,Right,
,,2,SC coherence,6,0.009950199997547315,1,270,down,0.15833333333333333,10,0,30,Man,Right,
,,2,SC coherence,7,0.010129000002052635,1,90,up,0.14166666666666666,10,0,30,Man,Right,
,,2,SC coherence,8,0.00887230000080308,1,270,down,0.11666666666666667,10,0,30,Man,Right,
,,2,SC coherence,9,0.00979169999845908,1,90,up,0.11666666666666667,10,0,30,Man,Right,
,,2,SC coherence,10,0.009701300001324853,0,270,down,0.1,10,0,30,Man,Right,
,,2,SC coherence,11,0.008809999999357387,0,270,down,0.2,10,0,30,Man,Right,
,,2,SC coherence,12,0.010657599999831291,1,90,up,0.3416666666666667,10,0,30,Man,Right,
,,2,SC coherence,13,0.008269599999039201,1,270,down,0.3416666666666667,10,0,30,Man,Right,
,,2,SC coherence,14,0.009408699999767123,1,90,up,0.31666666666666665,10,0,30,Man,Right,
,,2,SC coherence,15,0.010203300000284798,0,90,up,0.31666666666666665,10,0,30,Man,Right,
,,2,SC coherence,16,0.008294700000988087,1,270,down,0.5,10,0,30,Man,Right,
,,2,SC coherence,17,0.010051999997813255,0,90,up,0.5,10,0,30,Man,Right,
,,2,SC coherence,18,0.008795700003247475,1,90,up,0.9583333333333334,10,0,30,Man,Right,
,,2,SC coherence,19,0.00897610000174609,1,90,up,0.9416666666666667,10,0,30,Man,Right,
,,2,SC coherence,20,0.010920299999270355,1,90,up,0.9416666666666667,10,0,30,Man,Right,
,,2,SC coherence,21,0.00917710000067018,1,90,up,0.9166666666666666,10,0,30,Man,Right,
,,2,SC coherence,22,0.009872800001176074,1,90,up,0.9,10,0,30,Man,Right,
,,2,SC coherence,23,0.010577600001852261,1,270,down,0.9,10,0,30,Man,Right,
,,2,SC coherence,24,0.0095593000005465,1,90,up,0.8833333333333333,10,0,30,Man,Right,
,,2,SC coherence,25,0.010076899998239242,1,270,down,0.8583333333333333,10,0,30,Man,Right,
,,2,SC coherence,26,0.009449400000448804,1,270,down,0.8416666666666667,10,0,30,Man,Right,
,,2,SC coherence,27,0.009243600001354935,1,90,up,0.3,10,0,30,Man,Right,
,,2,SC coherence,28,0.009761400000570575,1,270,down,0.8416666666666667,10,0,30,Man,Right,
,,2,SC coherence,29,0.009733399998367531,1,90,up,0.8416666666666667,10,0,30,Man,Right,
,,2,SC coherence,30,0.009168000000499887,1,270,down,0.2833333333333333,10,0,30,Man,Right,
,,2,SC coherence,31,0.00898360000064713,1,90,up,0.8166666666666667,10,0,30,Man,Right,
,,2,SC coherence,32,0.009514400000625756,0,270,down,0.2833333333333333,10,0,30,Man,Right,
,,2,SC coherence,33,0.008556099997804267,1,90,up,0.7833333333333333,10,0,30,Man,Right,
,,2,SC coherence,34,0.009517700000287732,1,270,down,0.31666666666666665,10,0,30,Man,Right,
,,2,SC coherence,35,0.01022259999808739,1,90,up,0.7833333333333333,10,0,30,Man,Right,
,,2,SC coherence,36,0.008702499999344582,1,270,down,0.7583333333333333,10,0,30,Man,Right,
,,2,SC coherence,37,0.009013399998366367,1,270,down,0.3,10,0,30,Man,Right,
,,2,SC coherence,38,0.008539099999325117,1,270,down,0.7833333333333333,10,0,30,Man,Right,
,,2,SC coherence,39,0.009424699997907737,1,90,up,0.2833333333333333,10,0,30,Man,Right,
