thisRow.t,notes,block,Trialtype,withinblocktrial,resp,cor,dots direction,cor_resp,coherence,RTdec,dotlife,sub,age,gender,handedness,
,,0,tutorial,0,down,1,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,1,up,1,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,2,down,1,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,3,up,1,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,4,up,1,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,5,up,0,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,6,down,0,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,7,down,1,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,8,up,1,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,9,down,1,0,right,0.9,,,0,30,Man,Right,
,,1,SC dotlife,0,down,1,0,right,0.3,1.2772569999997359,9,0,30,Man,Right,
,,1,SC dotlife,1,up,0,0,right,0.3,1.3278823000000557,9,0,30,Man,Right,
,,1,SC dotlife,2,up,1,180,left,0.3,1.3119229000003543,13,0,30,Man,Right,
,,1,SC dotlife,3,down,1,0,right,0.3,1.3286831000004895,11,0,30,Man,Right,
,,1,SC dotlife,4,up,1,180,left,0.3,1.29618070000015,11,0,30,Man,Right,
,,1,SC dotlife,5,up,1,180,left,0.3,1.3025151000001642,11,0,30,Man,Right,
