thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,sub,age,gender,handedness,
,,1,SC dotlife,0,0.48445279999941704,left,0,0,right,0.3,11,0,30,Man,Right,
,,1,SC dotlife,1,0.2836979000003339,right,1,0,right,0.3,13,0,30,Man,Right,
,,1,SC dotlife,2,0.3337457000016002,left,1,180,left,0.3,13,0,30,Man,Right,
,,1,SC dotlife,3,nan,None,0,0,right,0.3,13,0,30,Man,Right,
,,1,SC dotlife,4,0.36722999999983585,left,1,180,left,0.3,15,0,30,Man,Right,
,,1,SC dotlife,5,0.31805069999973057,left,1,180,left,0.3,15,0,30,Man,Right,
,,1,SC dotlife,6,0.3177261000000726,right,1,0,right,0.3,15,0,30,Man,Right,
,,1,SC dotlife,7,0.3503031000000192,right,1,0,right,0.3,15,0,30,Man,Right,
,,1,SC dotlife,8,0.3339262999998027,left,1,180,left,0.3,13,0,30,Man,Right,
,,1,SC dotlife,9,0.5501179000002594,left,1,180,left,0.3,13,0,30,Man,Right,
,,1,SC dotlife,10,0.4016252999990684,left,1,180,left,0.3,13,0,30,Man,Right,
,,1,SC dotlife,11,0.516052100001616,right,1,0,right,0.3,13,0,30,Man,Right,
,,1,SC dotlife,12,0.4833567999994557,left,1,180,left,0.3,11,0,30,Man,Right,
,,1,SC dotlife,13,0.38243019999936223,right,1,0,right,0.3,11,0,30,Man,Right,
,,1,SC dotlife,14,0.3685447000007116,right,1,0,right,0.3,11,0,30,Man,Right,
,,1,SC dotlife,15,0.45064279999860446,right,1,0,right,0.3,9,0,30,Man,Right,
,,1,SC dotlife,16,0.3671952999993664,left,1,180,left,0.3,9,0,30,Man,Right,
,,1,SC dotlife,17,0.31712289999995846,right,1,0,right,0.3,9,0,30,Man,Right,
,,1,SC dotlife,18,0.33573299999989104,right,1,0,right,0.3,9,0,30,Man,Right,
,,1,SC dotlife,19,0.3353255000001809,right,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,20,0.3013233000001492,left,1,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,21,0.41784069999994244,left,1,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,22,0.36660569999912695,right,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,23,0.10147060000053898,right,0,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,24,0.33471280000048864,right,0,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,25,0.3009812000000238,right,0,180,left,0.3,9,0,30,Man,Right,
,,1,SC dotlife,26,0.40107499999976426,left,1,180,left,0.3,11,0,30,Man,Right,
,,1,SC dotlife,27,0.3353803000009066,right,1,0,right,0.3,11,0,30,Man,Right,
,,1,SC dotlife,28,0.33503449999989243,left,1,180,left,0.3,11,0,30,Man,Right,
,,1,SC dotlife,29,0.3993970999999874,left,1,180,left,0.3,11,0,30,Man,Right,
,,1,SC dotlife,30,0.3007400999995298,left,1,180,left,0.3,9,0,30,Man,Right,
,,1,SC dotlife,31,0.18292680000013206,right,1,0,right,0.3,9,0,30,Man,Right,
,,1,SC dotlife,32,0.3189297999997507,right,1,0,right,0.3,9,0,30,Man,Right,
