thisRow.t,notes,block,Trialtype,withinblocktrial,resp,cor,dots direction,cor_resp,coherence,RTdec,dotlife,sub,age,gender,handedness,
,,0,tutorial,0,up,0,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,1,up,0,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,2,down,1,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,3,up,1,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,4,up,1,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,5,down,1,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,6,down,1,0,right,0.9,,,0,30,Man,Right,
,,0,tutorial,7,up,1,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,8,down,0,180,left,0.9,,,0,30,Man,Right,
,,0,tutorial,9,up,1,180,left,0.9,,,0,30,Man,Right,
,,1,SC dotlife,0,None,0,180,left,0.3,nan,11,0,30,Man,Right,
,,1,SC dotlife,1,left,1,180,left,0.3,0.41693240001040976,13,0,30,Man,Right,
,,1,SC dotlife,2,right,1,0,right,0.3,0.48281040000438225,13,0,30,Man,Right,
,,1,SC dotlife,3,left,1,180,left,0.3,0.3338308000093093,13,0,30,Man,Right,
,,1,SC dotlife,4,right,1,0,right,0.3,0.3180310999887297,11,0,30,Man,Right,
,,1,SC dotlife,5,right,1,0,right,0.3,0.2842565999890212,11,0,30,Man,Right,
,,1,SC dotlife,6,left,1,180,left,0.3,0.3173125000030268,9,0,30,Man,Right,
,,1,SC dotlife,7,left,1,180,left,0.3,0.283883899988723,9,0,30,Man,Right,
,,1,SC dotlife,8,None,0,0,right,0.3,nan,9,0,30,Man,Right,
,,1,SC dotlife,9,None,0,180,left,0.3,nan,13,0,30,Man,Right,
