thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,sub,age,gender,handedness,
,,1,SC dotlife,0,1.100922000000537,up,1,180,left,0.3,11,0,30,Man,Right,
,,1,SC dotlife,1,1.3347176999996009,down,1,0,right,0.3,9,0,30,Man,Right,
,,1,SC dotlife,2,1.3612328999997771,down,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,3,1.3505920999996306,up,1,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,4,1.3614565999996557,up,1,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,5,1.2960935999999492,down,1,0,right,0.3,5,0,30,Man,Right,
,,1,SC dotlife,6,1.32581029999983,down,0,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,7,1.3259103999998842,down,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,8,1.3599663999993936,up,1,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,9,1.3749416000000565,up,1,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,10,1.3839743999997154,down,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,11,1.3199171000005663,down,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,12,1.3642712999999276,down,0,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,13,1.3651724000001195,up,1,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,14,1.3656204999997499,down,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,15,1.3823011000004044,down,1,0,right,0.3,7,0,30,Man,Right,
,,1,SC dotlife,16,1.3363090999991982,up,1,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,17,1.3367001000005985,up,1,180,left,0.3,7,0,30,Man,Right,
,,1,SC dotlife,18,1.3377001999997447,down,1,0,right,0.3,5,0,30,Man,Right,
,,1,SC dotlife,19,1.3497341000002052,up,1,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,20,1.31760420000046,down,1,0,right,0.3,5,0,30,Man,Right,
,,1,SC dotlife,21,1.3000965000001088,up,1,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,22,1.3292956999994203,down,1,0,right,0.3,5,0,30,Man,Right,
,,1,SC dotlife,23,1.2423320999996577,up,1,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,24,1.3487139999997453,down,1,0,right,0.3,5,0,30,Man,Right,
,,1,SC dotlife,25,1.4060610999995333,down,1,0,right,0.3,5,0,30,Man,Right,
,,1,SC dotlife,26,1.1058693000004496,up,1,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,27,1.318873100000019,down,1,0,right,0.3,5,0,30,Man,Right,
,,1,SC dotlife,28,1.2236320000001797,down,1,0,right,0.3,3,0,30,Man,Right,
,,1,SC dotlife,29,1.3058116000001974,down,1,0,right,0.3,3,0,30,Man,Right,
,,1,SC dotlife,30,1.3261523000001034,up,1,180,left,0.3,3,0,30,Man,Right,
,,1,SC dotlife,31,1.2297842999996647,down,1,0,right,0.3,3,0,30,Man,Right,
,,1,SC dotlife,32,1.1638898000001063,down,1,0,right,0.3,3,0,30,Man,Right,
,,1,SC dotlife,33,1.2933874000000287,down,0,180,left,0.3,3,0,30,Man,Right,
,,1,SC dotlife,34,1.33286919999955,up,1,180,left,0.3,3,0,30,Man,Right,
,,1,SC dotlife,35,1.2957511999993585,down,1,0,right,0.3,3,0,30,Man,Right,
,,1,SC dotlife,36,1.2799655999997412,down,0,180,left,0.3,3,0,30,Man,Right,
,,1,SC dotlife,37,1.3289099999992686,up,1,180,left,0.3,5,0,30,Man,Right,
,,1,SC dotlife,38,1.2959480000008625,up,1,180,left,0.3,5,0,30,Man,Right,
