thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,subject,age,gender,handedness,
,,1,SC dotlife,0,0.5367166000005454,up,1,90,up,0.3,29,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,1,0.49015659999986383,up,1,90,up,0.3,25,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,2,0.3761720999991667,up,1,90,up,0.3,23,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,3,0.5367645000005723,down,1,270,down,0.3,21,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,4,0.37223290000019915,down,1,270,down,0.3,19,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,5,0.4691980000006879,up,1,90,up,0.3,17,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,6,0.38581190000058996,up,1,90,up,0.3,15,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,7,0.45344400000067253,up,1,90,up,0.3,13,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,8,0.48037209999984043,down,1,270,down,0.3,13,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,9,0.45233380000081524,down,1,270,down,0.3,11,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,10,0.4677336999993713,up,1,90,up,0.3,11,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,11,0.46749520000048506,down,1,270,down,0.3,9,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,12,0.5195637000006172,up,1,90,up,0.3,9,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,13,0.5531682000000728,down,1,270,down,0.3,9,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,14,0.4746130000003177,down,1,270,down,0.3,9,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,15,0.5511028999999326,up,1,90,up,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,16,0.618669200000113,down,1,270,down,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,17,0.6188561000008121,down,1,270,down,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,18,0.5590869999996357,up,1,90,up,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,19,0.8697737000002235,up,1,90,up,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,20,0.4853832999997394,up,1,90,up,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,21,0.6701369999991584,down,1,270,down,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,22,0.5534090999999535,down,1,270,down,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,23,0.5356097999992926,up,1,90,up,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,24,0.4620274999997491,down,1,270,down,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,25,0.4516309000000547,down,1,270,down,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,26,0.6345310000006066,up,1,90,up,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,27,0.42567910000070697,down,1,270,down,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,28,0.5193084000002273,up,1,90,up,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,29,0.4033035000002201,down,1,270,down,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,30,0.48579090000021097,up,1,90,up,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,31,0.5859621999998126,up,1,90,up,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,32,0.519624799999292,up,1,90,up,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,33,0.6359222999999474,down,1,270,down,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,34,0.5847579999999653,up,1,90,up,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,35,0.4886169000001246,up,1,90,up,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,36,0.5190188999995371,down,1,270,down,0.3,5,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,37,0.5250232999997024,down,1,270,down,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,38,0.5184223000005659,down,1,270,down,0.3,7,,,,,,,1000,1000,1000,1000,
,,1,SC dotlife,39,0.452502000000095,down,1,270,down,0.3,5,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,0,0.47329609999997047,up,1,90,up,0.3,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,1,0.5310888000003615,up,0,270,down,0.0,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,2,0.4985560000004625,down,1,270,down,0.2833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,2,SC coherence,3,0.6643169999997554,up,1,90,up,0.24166666666666667,5.226019351278028,,,,,,,1000,1000,1000,1000,
