thisRow.t,notes,block,Trialtype,withinblocktrial,resp,cor,dots direction,cor_resp,coherence,RTdec,dotlife,SR_conf,interval,interTrial.interval,scale,start_conf,RTrating,sub,age,gender,handedness,
,,0,tutorial,0,down,1,270,down,0.9,,,,,,,,,14,7,7,,
,,0,tutorial,1,down,1,270,down,0.9,,,,,,,,,14,7,7,,
,,0,tutorial,2,up,1,90,up,0.9,,,,,,,,,14,7,7,,
,,0,tutorial,3,up,1,90,up,0.9,,,,,,,,,14,7,7,,
,,0,tutorial,4,up,1,90,up,0.9,,,,,,,,,14,7,7,,
,,0,tutorial,5,down,1,270,down,0.9,,,,,,,,,14,7,7,,
,,1,SC dotlife,0,up,1,90,up,0.9,0.6140825999991648,11,,,,,,,14,7,7,,
,,1,SC dotlife,1,down,1,270,down,0.9,0.44606500000008964,9,,,,,,,14,7,7,,
,,1,SC dotlife,2,up,1,90,up,0.9,0.3306064999997034,7,,,,,,,14,7,7,,
,,1,SC dotlife,3,up,1,90,up,0.9,0.3148599000014656,7,,,,,,,14,7,7,,
,,1,SC dotlife,4,up,1,90,up,0.9,0.38178330000118876,7,,,,,,,14,7,7,,
,,1,SC dotlife,5,up,1,90,up,0.9,0.4234959000004892,5,,,,,,,14,7,7,,
,,1,SC dotlife,6,down,1,270,down,0.9,0.37539079999987734,5,,,,,,,14,7,7,,
,,1,SC dotlife,7,up,1,90,up,0.9,0.35835190000034345,5,,,,,,,14,7,7,,
,,1,SC dotlife,8,up,1,90,up,0.9,0.3794866999996884,3,,,,,,,14,7,7,,
,,1,SC dotlife,9,up,1,90,up,0.9,0.3798644999988028,3,,,,,,,14,7,7,,
,,1,SC dotlife,10,up,1,90,up,0.9,0.3278917999996338,3,,,,,,,14,7,7,,
,,1,SC dotlife,11,down,1,270,down,0.9,0.36189029999877675,3,,,,,,,14,7,7,,
,,1,SC dotlife,12,up,0,270,down,0.9,0.3124688000007154,3,,,,,,,14,7,7,,
,,1,SC dotlife,13,down,1,270,down,0.9,0.44571109999924374,5,,,,,,,14,7,7,,
,,1,SC dotlife,14,up,1,90,up,0.9,0.42927790000067034,3,,,,,,,14,7,7,,
,,1,SC dotlife,15,up,1,90,up,0.9,0.4952749000003678,3,,,,,,,14,7,7,,
,,1,SC dotlife,16,down,1,270,down,0.9,0.6899875999988581,3,,,,,,,14,7,7,,
,,1,SC dotlife,17,down,1,270,down,0.9,0.4115573000017321,3,,,,,,,14,7,7,,
,,1,SC dotlife,18,up,1,90,up,0.9,0.31136899999910383,3,,,,,,,14,7,7,,
,,1,SC dotlife,19,down,1,270,down,0.9,0.3615446999992855,3,,,,,,,14,7,7,,
,,1,SC dotlife,20,up,1,90,up,0.9,0.34385399999882793,3,,,,,,,14,7,7,,
,,1,SC dotlife,21,down,0,90,up,0.9,0.31193870000060997,3,,,,,,,14,7,7,,
,,1,SC dotlife,22,down,1,270,down,0.9,0.36150000000088767,3,,,,,,,14,7,7,,
,,1,SC dotlife,23,up,0,270,down,0.9,0.36246179999943706,3,,,,,,,14,7,7,,
,,1,SC dotlife,24,up,0,270,down,0.9,0.2956102000007377,5,,,,,,,14,7,7,,
,,1,SC dotlife,25,down,1,270,down,0.9,0.8051379999997152,5,,,,,,,14,7,7,,
