"","gm[1]","gm[2]","gm[3]","gm[4]","gm[5]","gm[6]","gm[7]","gm[8]","gm[9]","draw","tau_u[1]","tau_u[2]","tau_u[3]","tau_u[4]","tau_u[5]","tau_u[6]","tau_u[7]","tau_u[8]","tau_u[9]","L_u[1,1]","L_u[2,1]","L_u[3,1]","L_u[4,1]","L_u[5,1]","L_u[6,1]","L_u[7,1]","L_u[8,1]","L_u[9,1]","L_u[1,2]","L_u[2,2]","L_u[3,2]","L_u[4,2]","L_u[5,2]","L_u[6,2]","L_u[7,2]","L_u[8,2]","L_u[9,2]","L_u[1,3]","L_u[2,3]","L_u[3,3]","L_u[4,3]","L_u[5,3]","L_u[6,3]","L_u[7,3]","L_u[8,3]","L_u[9,3]","L_u[1,4]","L_u[2,4]","L_u[3,4]","L_u[4,4]","L_u[5,4]","L_u[6,4]","L_u[7,4]","L_u[8,4]","L_u[9,4]","L_u[1,5]","L_u[2,5]","L_u[3,5]","L_u[4,5]","L_u[5,5]","L_u[6,5]","L_u[7,5]","L_u[8,5]","L_u[9,5]","L_u[1,6]","L_u[2,6]","L_u[3,6]","L_u[4,6]","L_u[5,6]","L_u[6,6]","L_u[7,6]","L_u[8,6]","L_u[9,6]","L_u[1,7]","L_u[2,7]","L_u[3,7]","L_u[4,7]","L_u[5,7]","L_u[6,7]","L_u[7,7]","L_u[8,7]","L_u[9,7]","L_u[1,8]","L_u[2,8]","L_u[3,8]","L_u[4,8]","L_u[5,8]","L_u[6,8]","L_u[7,8]","L_u[8,8]","L_u[9,8]","L_u[1,9]","L_u[2,9]","L_u[3,9]","L_u[4,9]","L_u[5,9]","L_u[6,9]","L_u[7,9]","L_u[8,9]","L_u[9,9]"
"1",-0.218176,-4.0643,-1.99815,-0.70583,0.207574,-4.47367,1.96165,-0.0184496,0.0622617,1,0.183969,2.29718,1.21847,0.349965,0.0963738,2.01416,0.835498,0.0167126,0.0505204,1,-0.105565,-0.0473996,-0.15713,-0.229491,-0.147934,0.306927,-0.0894912,-0.171795,0,0.994412,-0.430369,0.287261,-0.313402,0.326068,0.0717879,-0.483178,-0.212106,0,0,0.901408,0.559271,-0.313944,0.600134,0.377146,0.0681409,0.598651,0,0,0,0.761582,-0.538241,0.429199,0.166454,-0.102866,-0.282904,0,0,0,0,0.678859,0.403824,-0.0841665,0.211914,-0.168053,0,0,0,0,0,0.405399,0.584203,0.139257,0.32017,0,0,0,0,0,0,0.61832,-0.139043,-0.112914,0,0,0,0,0,0,0,0.812202,-0.166647,0,0,0,0,0,0,0,0,0.561968
"2",0.0631033,-3.99102,-2.00581,-1.29649,0.281353,-4.80634,2.03313,0.0786367,0.0423604,2,0.172963,2.22139,0.354267,0.645208,0.355441,1.17056,0.584389,0.0570978,0.0699078,1,0.238447,-0.167367,-0.118735,-0.074389,-0.12112,-0.397591,-0.00102583,-0.140786,0,0.971155,-0.427534,0.000864855,-0.0688063,-0.450858,0.0120339,0.245351,0.0967167,0,0,0.888371,0.178623,0.188379,-0.516505,-0.458889,-0.189194,-0.357791,0,0,0,0.976727,0.0174625,-0.47017,0.461473,-0.45336,-0.15053,0,0,0,0,0.976699,-0.102698,-0.114503,-0.00196734,0.282231,0,0,0,0,0,0.53261,0.00124642,-0.575343,-0.114018,0,0,0,0,0,0,0.636496,0.0748027,-0.391972,0,0,0,0,0,0,0,0.601543,-0.244085,0,0,0,0,0,0,0,0,0.717131
"3",0.0259778,-2.84845,-2.49688,-1.35757,0.209794,-3.97075,2.00433,-0.00192913,0.00997965,3,0.145975,2.08859,0.537042,0.495302,0.120781,0.27066,0.658282,0.0145873,0.0848874,1,-0.0950038,-0.240007,-0.355845,-0.131854,0.000626335,0.372443,-0.0206118,0.186065,0,0.995477,-0.131897,-0.36964,-0.403237,0.403318,0.046253,-0.38916,-0.0904981,0,0,0.961769,0.299344,-0.19576,0.534408,0.535472,0.181557,0.584292,0,0,0,0.804446,0.163645,0.501113,0.174034,0.159861,0.150563,0,0,0,0,0.868857,0.041799,-0.0453177,-0.0533352,-0.163527,0,0,0,0,0,0.5467,0.0797187,0.0086977,0.387472,0,0,0,0,0,0,0.730562,-0.473456,-0.339891,0,0,0,0,0,0,0,0.75002,0.403926,0,0,0,0,0,0,0,0,0.370899
"4",-0.209078,-3.8597,-2.07159,-0.713481,0.25287,-4.61395,2.4887,0.00751745,0.00644037,4,0.220951,2.12178,0.568111,0.489117,0.119523,1.31405,0.674103,0.00486613,0.0927746,1,0.223825,-0.218112,-0.131198,-0.227251,-0.474628,-0.563783,-0.127486,-0.0839182,0,0.974629,-0.328257,0.305811,-0.120228,-0.484224,0.241451,0.436993,-0.558549,0,0,0.919062,-0.116848,-0.175577,-0.442594,-0.299764,-0.081465,0.060437,0,0,0,0.935742,-0.555721,-0.0448484,0.360561,0.281649,-0.31187,0,0,0,0,0.770875,-0.0528037,-0.311595,0.46829,0.0046229,0,0,0,0,0,0.582724,-0.109708,0.0338651,0.0230685,0,0,0,0,0,0,0.54301,0.380312,0.313033,0,0,0,0,0,0,0,0.584588,-0.331563,0,0,0,0,0,0,0,0,0.60958
"5",-0.173615,-2.94885,-1.82159,-0.475596,0.255746,-4.42406,2.13534,-0.0162287,0.0588121,5,0.235212,1.88115,0.380789,0.386798,0.157974,2.07601,0.564117,0.0420906,0.105363,1,0.547274,-0.465455,-0.466288,-0.329646,-0.664946,0.0525492,0.182297,-0.0222403,0,0.836953,0.336245,0.206554,-0.0633453,0.269491,0.312293,-0.0210782,-0.393598,0,0,0.818713,0.118881,-0.563757,0.139794,0.33611,-0.417227,0.500455,0,0,0,0.851926,-0.264823,0.204326,0.00968781,-0.153126,0.16444,0,0,0,0,0.706659,0.22907,-0.408991,0.0951753,-0.308126,0,0,0,0,0,0.609473,-0.000659257,0.300532,-0.55439,0,0,0,0,0,0,0.787003,0.0708674,-0.156188,0,0,0,0,0,0,0,0.815106,0.174442,0,0,0,0,0,0,0,0,0.331625
"6",0.104193,-2.52121,-2.56327,-1.48862,0.156633,-4.55381,1.70698,0.0197972,0.0733598,6,0.180966,1.16918,0.886897,0.741983,0.0629099,0.831065,0.591424,0.0918401,0.0785774,1,-0.229112,0.037612,-0.0511356,0.316154,-0.0952647,-0.36084,-0.227108,-0.230213,0,0.9734,-0.18232,-0.517442,-0.134594,-0.286994,-0.417014,-0.22444,-0.0644908,0,0,0.98252,0.310328,-0.0684821,0.393133,0.064045,-0.256868,-0.243584,0,0,0,0.795824,0.0414426,0.173773,0.24621,-0.341648,-0.115026,0,0,0,0,0.935694,-0.0853695,-0.275478,0.0476503,-0.0864746,0,0,0,0,0,0.846476,-0.141557,-0.242815,0.55056,0,0,0,0,0,0,0.731605,-0.179642,-0.452759,0,0,0,0,0,0,0,0.78857,-0.0862912,0,0,0,0,0,0,0,0,0.589277
"7",0.00868012,-3.26539,-2.10871,-1.36343,0.322974,-5.79156,1.54135,0.00465861,0.0628066,7,0.142272,1.30962,1.08399,0.711685,0.127774,1.57825,0.682329,0.0579839,0.12559,1,-0.0902481,-0.0669959,0.0332631,-0.211831,-0.123387,-0.0518404,0.413081,-0.198463,0,0.995919,-0.0695551,0.0387282,-0.232275,-0.00126719,0.100773,-0.175345,-0.36691,0,0,0.995326,0.559368,0.235762,0.395786,-0.367884,-0.00553641,-0.562137,0,0,0,0.827346,-0.170772,0.161153,0.808237,0.270806,-0.0604916,0,0,0,0,0.903564,-0.214145,-0.150949,0.0696247,0.0828658,0,0,0,0,0,0.869655,-0.132602,0.0305012,0.498164,0,0,0,0,0,0,0.397748,-0.297771,0.00902842,0,0,0,0,0,0,0,0.794233,0.190027,0,0,0,0,0,0,0,0,0.463796
"8",0.0967674,-2.18445,-2.2281,-1.51888,0.0250741,-4.63287,1.89655,0.0142616,0.0537955,8,0.231382,2.79615,0.271774,0.473705,0.165051,0.595938,0.546955,0.00724128,0.0918422,1,0.336349,-0.29158,-0.0789302,-0.0870521,-0.293653,-0.371166,-0.356581,0.166249,0,0.941738,-0.178076,-0.263891,0.171133,-0.138653,-0.370018,0.0961991,-0.234744,0,0,0.939824,0.482128,-0.210078,0.041231,0.324174,-0.0930199,-0.026128,0,0,0,0.831675,0.446184,0.0344035,0.253147,-0.573236,-0.0893658,0,0,0,0,0.848483,0.325703,-0.330783,-0.0131932,-0.259644,0,0,0,0,0,0.886328,0.138682,0.0346803,0.138994,0,0,0,0,0,0,0.653835,0.200633,-0.679462,0,0,0,0,0,0,0,0.696213,0.399013,0,0,0,0,0,0,0,0,0.448301
"9",0.00874597,-3.63908,-2.2815,-1.2074,0.350202,-6.09151,1.98182,0.0475574,0.0076951,9,0.147312,2.05215,0.596237,0.548599,0.199447,1.59845,0.513882,0.080771,0.0752604,1,-0.191476,-0.0855449,0.0911146,0.0123517,0.216595,-0.219034,-0.064217,-0.315915,0,0.981497,-0.207156,-0.267592,-0.163041,0.219346,0.125699,0.0216223,-0.2047,0,0,0.974561,-0.0707445,0.260076,-0.495178,-0.398893,-0.205063,-0.268879,0,0,0,0.956602,-0.103653,-0.196821,0.350024,0.355847,-0.320005,0,0,0,0,0.945982,-0.366983,-0.195379,0.205586,0.347575,0,0,0,0,0,0.697393,-0.0136413,0.33454,-0.342601,0,0,0,0,0,0,0.785005,0.207969,0.0880541,0,0,0,0,0,0,0,0.793283,0.248337,0,0,0,0,0,0,0,0,0.613178
"10",0.00351981,-2.64143,-1.93951,-1.41063,0.288665,-5.16933,1.67617,0.0212381,-0.0030761,10,0.193594,2.86359,0.686253,0.578875,0.0847973,0.701375,0.932548,0.0415052,0.0764259,1,0.414768,-0.228209,-0.127592,-0.196195,-0.200543,-0.391331,-0.00212751,-0.0937721,0,0.909927,-0.133836,0.0399775,-0.272509,-0.178092,-0.298807,-0.261526,-0.47957,0,0,0.964369,0.501306,-0.0888421,0.487902,0.432521,0.308689,0.482582,0,0,0,0.854877,-0.359853,0.0432337,0.641467,-0.539728,0.0350338,0,0,0,0,0.865944,0.557883,-0.15629,-0.192658,0.128618,0,0,0,0,0,0.613934,-0.106693,-0.103065,-0.187364,0,0,0,0,0,0,0.351013,-0.0570594,-0.320357,0,0,0,0,0,0,0,0.702858,-0.058319,0,0,0,0,0,0,0,0,0.607808
